yvar	xlabel	anova.lm.resid.df	anova.lm.resid.dev	lm.aic	lm.rsq	lm.p.value	anova.gam.resid.df	anova.gam.resid.dev	gam.aic	gam.rsq	gam.p.value	anova.Deviance	anova.Df	anova.Pr(>Chi)	LM<GAM
ERsucc_neg_corru	Antisaccade	187	204.970225829936	557.690013436219	-0.0022745455520583	0.449881489732773	186.99999999932	204.970225829868	557.690013436815	-0.00227454555349316	0.449881367403622	6.78426204103744e-11	6.80188350088429e-10	8.03354068832677e-09	0
ERsucc_neg_corru	Stroop	187	205.401858026771	558.087596597911	-0.00438516411715195	0.67255796523363	186.999999997574	205.401858024522	558.087596598263	-0.0043851641126551	0.672557898832258	2.24900986722787e-09	2.42550868279068e-09	2.44037302166781e-08	0
ERsucc_neg_corru	Stop signal	187	205.254598379326	557.952047410137	-0.00366508589299297	0.576222583688358	186.999999998838	205.254598378721	557.952047410671	-0.00366508589296322	0.57622247595206	6.04842398388428e-10	1.16173737296776e-09	1.2450994128046e-08	0
ERsucc_neg_corru	Flanker	187	203.188139730624	556.039593199922	0.00643959587062948	0.138050946933609	186.999999999034	203.188139730449	556.039593200737	0.00643959586888632	0.138050744488664	1.75219838638441e-10	9.65798108154559e-10	1.09443926917495e-08	0
ERsucc_neg_corru	Shape matching	187	205.288394475608	557.983164551693	-0.00383034388061132	0.595605043692648	186.99999999912	205.288394475576	557.983164552542	-0.00383034388281422	0.595604956735015	3.20881099469261e-11	8.80447714735055e-10	1.07290364150208e-08	0
ERsucc_neg_corru	Word naming	187	205.493727160764	558.172110850388	-0.00483439079946835	0.75763332561828	186.999999998989	205.49372716046	558.172110851168	-0.00483439080082926	0.757633127695307	3.04197556033614e-10	1.01130126495264e-09	1.11868032585157e-08	0
ERsucc_neg_corru	Latent trait	187	204.994191791082	557.712110801097	-0.00239173561085093	0.458667156636204	186.999999998902	204.994191790888	557.712110801989	-0.00239173561277295	0.458667009366113	1.9349499780219e-10	1.09844222606625e-09	1.23978833607271e-08	0
ERsucc_corru	Antisaccade	187	186.373207399247	539.713547960747	-0.0041060929740564	0.631189264060225	186.999999997621	186.37320739744	539.713547961297	-0.00410609297071396	0.631189222219289	1.80767756319256e-09	2.3786981273588e-09	2.40769406999332e-08	0
ERsucc_corru	Stroop	187	186.572054807212	539.915090479047	-0.00517740519052423	0.85896565284928	186.999999999213	186.572054806918	539.915090479539	-0.00517740519106225	0.858965587797016	2.93823632091517e-10	7.87281351222191e-10	8.6843753053464e-09	0
ERsucc_corru	Stop signal	187	186.543855875436	539.886522423046	-0.00502548035322725	0.806868754849087	186.865485237487	186.40240841095	539.880569729059	-0.00463252911980638	0.891842417436824	0.14144746448639	0.134514762512822	0.136838109819892	0
ERsucc_corru	Flanker	187	185.177919719885	538.497509928594	0.00233365047647893	0.231697366032354	186.99999999883	185.177919719191	538.497509929076	0.00233365047704159	0.231697222615851	6.93546553520719e-10	1.17029230750632e-09	1.24023732053651e-08	0
ERsucc_corru	Shape matching	187	186.212321007471	539.550323532436	-0.00323929989519534	0.53150278731723	186.999999999503	186.212321007415	539.550323532927	-0.00323929989636218	0.531502724009413	5.61044544156175e-11	4.97436758450931e-10	5.89848476861663e-09	0
ERsucc_corru	Word naming	187	185.687949963813	539.01735165442	-0.00041419339376092	0.338147449995108	186.99999999903	185.687949963758	539.01735165543	-0.000414193396315099	0.338147288918818	5.44559952686541e-11	9.70231894825702e-10	1.15178743588205e-08	0
ERsucc_corru	Latent trait	187	186.409366370472	539.750213009297	-0.004300903396804	0.65938519891174	186.999999998848	186.409366370086	539.750213010058	-0.00430090339781897	0.6593851423347	3.85938392355456e-10	1.152045570052e-09	1.25504485382358e-08	0
